"Year/Month","전국","수도권","지방","서울","(서울)도심권","(서울)동북권","(서울)서북권","(서울)서남권","(서울)동남권","부산","금리"
"2011년 02월","271.1","394.5","185","584.2","732.9","470.5","497","515","858.1","244.7","2.75"
"2011년 03월","254.8","377.5","185.6","566.7","695.6","465.9","505.3","504.3","841.3","244.5","3.00"
"2011년 04월","249.6","373","186.2","570.9","697.1","463.3","485","515.8","865.1","249.6","3.00"
"2011년 05월","255.4","375.7","190.1","573.6","679.2","457.9","496.5","514","865.2","252.9","3.00"
"2011년 06월","258.4","378.1","191.1","576.8","661.2","453.5","469.1","507.9","879.6","254.6","3.25"
"2011년 07월","273.2","395","192.5","614.5","653.9","458.9","512.2","522.7","922.7","259.2","3.25"
"2011년 08월","272.4","379.7","193.8","571.5","665.6","452.5","511.7","501.2","856.8","264.7","3.25"
"2011년 09월","270","374.8","196","577.3","712.3","456.9","517.8","496.5","875.4","264.3","3.25"
"2011년 10월","268.4","382.7","199","592.3","647.3","460.3","508","501","894.9","264.4","3.25"
"2011년 11월","265.6","385.9","198.5","588.1","676.9","454.9","505.4","508.1","873.8","265.5","3.25"
"2011년 12월","267.4","397.6","194.1","609.5","683.2","453","516","504.6","897.2","261.4","3.25"
"2012년 01월","271.2","381.4","200.3","575.7","659.9","447.4","506.4","497.6","868.5","261.5","3.25"
"2012년 02월","263.9","372.6","200.5","570.6","635","443.6","494.2","504.5","853.5","265.2","3.25"
"2012년 03월","262.9","367.8","197.7","564.7","663.4","443.2","481.1","507.5","854.5","256.8","3.25"
"2012년 04월","264.2","373.3","198.8","583.4","654.1","438.5","491.3","484.7","894.8","259.8","3.25"
"2012년 05월","270.2","380.1","200.2","592.9","675.3","432","519.2","510.4","869.5","255.2","3.25"
"2012년 06월","257.1","359.6","199","557.2","642.1","420.7","499.2","479.3","852.2","259.4","3.25"
"2012년 07월","251.1","349.8","196.2","548.9","625","418.2","491.8","478.2","847.1","256.4","3.00"
"2012년 08월","254.7","347.1","198.3","534.8","620.2","417.7","473.3","472.5","792.4","256","3.00"
"2012년 09월","270.4","365.3","204","563.4","622","423","474.7","481.2","839.7","256.6","3.00"
"2012년 10월","277.6","379.8","207.6","571.5","653.3","426.7","480","491.9","844.2","261.3","2.75"
"2012년 11월","274.1","379.9","206.6","574.1","648.5","427.9","486.5","479.7","846","259.8","2.75"
"2012년 12월","271.1","379.8","202.9","575.4","652.9","424.7","489.2","492","840.1","255.5","2.75"
"2013년 01월","274.4","379","207.7","577.3","626","422.7","484.7","494.2","844.2","258.8","2.75"
"2013년 02월","278","382.3","206.2","578.4","652.3","429.9","503.1","478.3","840.8","256.1","2.75"
"2013년 03월","284.5","379.2","209.5","563.3","619.6","431.2","486.4","489.4","829","259.8","2.75"
"2013년 04월","288.8","381.7","214.4","567.9","595.9","430.4","491.2","488.3","869.8","264.1","2.75"
"2013년 05월","283.6","373.3","214.1","553.7","617.3","433.9","504.4","491.2","821.8","262","2.5"
"2013년 06월","273.3","366.8","209.6","546.2","633.1","434.2","494.2","472.9","813.2","259","2.5"
"2013년 07월","271.8","352.4","211.3","507.8","610.3","425.3","480.7","464.2","770.9","260.5","2.5"
"2013년 08월","294.4","369.8","215.7","533.8","634.4","431.7","488.2","470.6","834.8","264.8","2.5"
"2013년 09월","304.7","377.3","222.9","534.9","624.6","437.5","499.1","482.6","800.3","264.2","2.5"
"2013년 10월","297.3","379.6","225.1","546.5","625.7","447","499.8","489.1","808.7","268.7","2.5"
"2013년 11월","293.6","390.1","225.1","569.3","663","445.3","496.5","490.6","849.8","270.1","2.5"
"2013년 12월","307.8","410.5","224","603.9","665.8","454.7","503.6","494.6","886.4","269.7","2.5"
"2014년 01월","316.2","409","225.2","588.9","658.9","459.5","505.1","501","864.3","274.1","2.5"
"2014년 02월","314.1","401.6","225.4","576.6","653","456.6","519.8","504.7","838.9","271.8","2.5"
"2014년 03월","298.9","382","226.8","548.8","640.4","453.2","495.3","486.8","806.6","274.9","2.5"
"2014년 04월","290.6","379.7","225.1","553.4","660.9","454.4","504.3","489.4","843.1","269.8","2.5"
"2014년 05월","292.3","380.2","226.5","558.3","620.1","450.3","510.1","491","846","270.6","2.5"
